station_ID,YEAR,DAY,LON,LAT,ALT
4173,1951,116,10.5167,49.35,410
2842,1951,117,9.21667,48.7167,391
1539,1951,119,7.3,51.8333,65
3254,1951,121,7.63333,47.6,280
4098,1951,121,11.6167,50.1167,370
480,1951,122,9.93333,51.5333,150
3486,1951,122,10.8833,48.05,590
1129,1951,123,8.2,53.15,5
1326,1951,123,6.25,51.5833,20
1723,1951,123,8.38333,51.9167,75
2009,1951,123,8.81667,50.5167,170
2024,1951,123,9.31667,50.4667,460
4239,1951,123,11.4,49.4,450
4456,1951,123,10.2667,48.45,450
2496,1951,124,7.3,49.75,450
3515,1951,124,11.4167,47.7167,620
3545,1951,124,11.9333,48.4667,420
4395,1951,124,10.5333,50.2667,300
3014,1951,125,9.88333,49.0833,370
3750,1951,125,12.1833,48.5833,390
4740,1951,125,14.3,51.9833,47
213,1951,125,9.65,54.0833,60
2415,1951,125,8.06667,50.1667,380
199,1951,126,10.1667,54.1167,45
951,1951,126,7.3,52.5,25
3018,1951,126,10.1167,48.5,460
3069,1951,126,9.31667,49.5333,340
4495,1951,126,10.4167,48.4333,460
1074,1951,127,9.85,51.9,200
3693,1951,127,12.9667,48.8333,310
3781,1951,127,13,48.4,400
3986,1951,128,12.5833,49.4333,530
4364,1951,128,10.4333,50.15,290
4445,1951,128,10.0333,49.8833,260
2168,1951,128,9.51667,51.3833,170
2217,1951,128,9.93333,51.0167,330
2294,1951,128,9.35,50.8833,270
2735,1951,129,7.35,49.25,240
1910,1951,129,9.21667,50.6167,420
4741,1951,129,14.1167,52.2167,100
152,1951,130,10.8167,54.1,10
1072,1951,130,10.4333,52.3,80
1713,1951,130,9.3,51.5833,230
2049,1951,130,8.91667,50.1167,110
2075,1951,130,8.5,50.9667,420
2391,1951,130,7.95,50.0167,220
2893,1951,130,10.1833,49.1333,460
3087,1951,130,8.73333,49.25,140
3798,1951,130,12.8833,49.0833,430
3827,1951,130,13.5167,48.75,440
3884,1951,130,11.45,49.1667,400
4054,1951,130,11.2833,49.9333,400
4241,1951,130,10.2667,49.2833,500
4251,1951,130,10.95,49.3667,380
4266,1951,130,11.1167,49.0167,560
4539,1951,130,10.15,47.9667,610
3127,1951,132,9.28333,49.4167,290
4015,1951,132,11,49.8667,290
4412,1951,132,10.35,50.4,310
563,1951,132,10.0333,51.8,130
244,1951,133,9.56667,54.5167,18
4519,1951,133,10.35,47.7,710
569,1951,134,10.0667,51.8167,240
3076,1951,134,9.58333,49.4667,340
3628,1951,134,11.0167,47.8,980
4172,1951,134,10.8,49.3333,400
4170,1951,135,10.5167,49.4,460
481,1951,135,9.95,51.5333,190
4135,1951,136,11.9667,50.2167,520
2053,1951,136,8.78333,50.8167,200
3959,1951,137,11.6833,49.5333,420
1936,1951,138,9.15,50.3667,300
3088,1951,138,8.8,49.3833,130
4157,1951,138,11.8833,50.1,620
3978,1951,139,12.2667,49.6333,450
3124,1951,140,9.21667,49.4667,390
3967,1951,140,12.3167,49.7833,600
4198,1951,140,10.3333,49.1667,450
4256,1951,140,10.3167,49.45,350
427,1951,140,9.45,52.4,50
1469,1951,140,6.26667,50.5667,530
2153,1951,140,9.81667,50.75,370
4494,1951,141,10.75,47.5667,810
2438,1951,141,8.35,50.6167,190
2909,1951,142,9.86667,48.65,685
3865,1951,142,12.85,49.3167,400
3984,1951,142,12.75,49.3167,420
4386,1951,142,10.2167,49.7167,230
3630,1951,143,10.8,47.8333,830
1832,1951,144,8.1,50.9167,350
3849,1951,144,11.8167,49.6167,400
4055,1951,144,11.1667,49.95,450
3520,1951,145,13,47.6333,550
4121,1951,145,11.7333,50.2833,610
4469,1951,145,10.3,48.55,440
3589,1951,146,11.75,47.65,790
3824,1951,146,13.8167,48.75,720
4517,1951,146,10.2333,47.7167,900
4584,1951,146,10.2167,47.5667,730
2253,1951,150,8.7,51.35,420
142,1951,155,11.1,54.5,6
3987,1951,155,12.7167,49.3833,520
4039,1951,155,10.8,50.3667,340
3685,1951,164,11.0333,47.8833,700
2216,1951,165,9.53333,50.9833,370
3091,1951,166,8.75,49.2667,180
4394,1951,167,10.4667,50.3,280
4098,1952,106,11.6167,50.1167,370
1539,1952,110,7.3,51.8333,65
2652,1952,111,6.88333,49.9833,160
2391,1952,113,7.95,50.0167,220
3069,1952,114,9.31667,49.5333,340
3959,1952,114,11.6833,49.5333,420
2296,1952,114,9.06667,51,320
3124,1952,116,9.21667,49.4667,390
2496,1952,116,7.3,49.75,450
2842,1952,117,9.21667,48.7167,391
3065,1952,117,9.4,49.4,230
3781,1952,117,13,48.4,400
1074,1952,119,9.85,51.9,200
2187,1952,119,8.7,50.7333,180
3482,1952,119,12.8833,47.7333,480
3563,1952,119,11.2833,48.7833,410
4445,1952,119,10.0333,49.8833,260
3105,1952,120,8.3,48.9667,120
244,1952,120,9.56667,54.5167,18
2959,1952,121,9.1,49.05,220
4173,1952,121,10.5167,49.35,410
4333,1952,121,9.65,50.1,180
2009,1952,121,8.81667,50.5167,170
4740,1952,122,14.3,51.9833,47
427,1952,122,9.45,52.4,50
563,1952,122,10.0333,51.8,130
569,1952,122,10.0667,51.8167,240
1469,1952,122,6.26667,50.5667,530
1771,1952,122,8.46667,51.2,780
2217,1952,122,9.93333,51.0167,330
2415,1952,122,8.06667,50.1667,380
3070,1952,122,9.41667,49.6333,410
4172,1952,122,10.8,49.3333,400
199,1952,123,10.1667,54.1167,45
213,1952,123,9.65,54.0833,60
2049,1952,123,8.91667,50.1167,110
2075,1952,123,8.5,50.9667,420
2438,1952,123,8.35,50.6167,190
2869,1952,123,9.58333,48.9833,290
3849,1952,123,11.8167,49.6167,400
4198,1952,123,10.3333,49.1667,450
4395,1952,123,10.5333,50.2667,300
4539,1952,123,10.15,47.9667,610
3694,1952,124,12.6,48.8833,330
3984,1952,124,12.75,49.3167,420
4239,1952,124,11.4,49.4,450
4241,1952,124,10.2667,49.2833,500
4251,1952,124,10.95,49.3667,380
4256,1952,124,10.3167,49.45,350
4456,1952,124,10.2667,48.45,450
2735,1952,125,7.35,49.25,240
3087,1952,125,8.73333,49.25,140
3545,1952,125,11.9333,48.4667,420
3750,1952,125,12.1833,48.5833,390
3827,1952,125,13.5167,48.75,440
4135,1952,125,11.9667,50.2167,520
4170,1952,125,10.5167,49.4,460
4266,1952,125,11.1167,49.0167,560
4741,1952,125,14.1167,52.2167,100
480,1952,126,9.93333,51.5333,150
481,1952,126,9.95,51.5333,190
1713,1952,126,9.3,51.5833,230
2024,1952,126,9.31667,50.4667,460
2893,1952,126,10.1833,49.1333,460
3520,1952,126,13,47.6333,550
3630,1952,126,10.8,47.8333,830
3865,1952,126,12.85,49.3167,400
1910,1952,127,9.21667,50.6167,420
3143,1952,127,8.91667,49.3333,210
3876,1952,127,11.9,49.8667,460
4469,1952,127,10.3,48.55,440
4495,1952,127,10.4167,48.4333,460
2909,1952,128,9.86667,48.65,685
3127,1952,128,9.28333,49.4167,290
4364,1952,128,10.4333,50.15,290
4848,1952,128,13.35,52.9833,45
1851,1952,128,8.36667,51,520
2552,1952,128,7.55,50.1667,450
3875,1952,129,11.65,49.3833,480
3986,1952,129,12.5833,49.4333,530
4519,1952,129,10.35,47.7,710
2615,1952,130,6.41667,50.2,450
531,1952,131,9.73333,51.95,200
3018,1952,131,10.1167,48.5,460
3656,1952,131,12.65,47.7667,680
4386,1952,131,10.2167,49.7167,230
3978,1952,132,12.2667,49.6333,450
3884,1952,133,11.45,49.1667,400
2853,1952,134,10.1333,48.9667,440
3693,1952,135,12.9667,48.8333,310
4054,1952,135,11.2833,49.9333,400
1832,1952,135,8.1,50.9167,350
2294,1952,135,9.35,50.8833,270
3628,1952,136,11.0167,47.8,980
1936,1952,137,9.15,50.3667,300
2253,1952,137,8.7,51.35,420
3967,1952,137,12.3167,49.7833,600
3987,1952,138,12.7167,49.3833,520
4517,1952,138,10.2333,47.7167,900
142,1952,140,11.1,54.5,6
3824,1952,141,13.8167,48.75,720
4039,1952,141,10.8,50.3667,340
4494,1952,143,10.75,47.5667,810
3091,1952,144,8.75,49.2667,180
4055,1952,146,11.1667,49.95,450
2053,1952,146,8.78333,50.8167,200
4394,1952,147,10.4667,50.3,280
4157,1952,162,11.8833,50.1,620
3589,1952,170,11.75,47.65,790
2225,1953,105,9.86667,50.95,230
1539,1953,106,7.3,51.8333,65
1723,1953,107,8.38333,51.9167,75
3143,1953,112,8.91667,49.3333,210
2959,1953,113,9.1,49.05,220
4251,1953,113,10.95,49.3667,380
4741,1953,113,14.1167,52.2167,100
1910,1953,114,9.21667,50.6167,420
2296,1953,114,9.06667,51,320
4241,1953,114,10.2667,49.2833,500
4456,1953,114,10.2667,48.45,450
2496,1953,115,7.3,49.75,450
2842,1953,115,9.21667,48.7167,391
3088,1953,115,8.8,49.3833,130
3065,1953,116,9.4,49.4,230
3124,1953,116,9.21667,49.4667,390
3781,1953,116,13,48.4,400
3865,1953,116,12.85,49.3167,400
951,1953,116,7.3,52.5,25
1072,1953,116,10.4333,52.3,80
2049,1953,116,8.91667,50.1167,110
